Birthday,HeadCoach,Name,Number,Position,Team
1991-01-06,迈克尔-马龙,"威尔-巴顿,(Will Barton)",5,G,丹佛掘金（Denver Nuggets）
1997-02-23,迈克尔-马龙,"贾马尔-默里,(Jamal Murray)",27,G,丹佛掘金（Denver Nuggets）
1995-11-05,迈克尔-马龙,"特雷-莱尔斯,(Trey Lyles)",7,F,丹佛掘金（Denver Nuggets）
1988-08-23,劳埃德-皮尔斯,"林书豪,(Jeremy Lin)",7,G,亚特兰大老鹰（Atlanta Hawks）
1988-09-01,劳埃德-皮尔斯,"迈尔斯-普拉姆利,(Miles Plumlee)",18,C,亚特兰大老鹰（Atlanta Hawks）
1989-08-12,劳埃德-皮尔斯,"德维恩-戴德蒙,(Dewayne Dedmon)",14,C,亚特兰大老鹰（Atlanta Hawks）
1998-09-19,劳埃德-皮尔斯,"特雷-杨,(Trae Young)",11,G,亚特兰大老鹰（Atlanta Hawks）
1993-01-01,泰伦-卢,"小拉里-南斯,(Larry Nance Jr.)",22,F,克利夫兰骑士（Cleveland Cavaliers）
1997-01-04,泰伦-卢,"安特-日日奇,(Ante Zizic)",41,C,克利夫兰骑士（Cleveland Cavaliers）
1994-07-11,泰伦-卢,"以赛亚-泰勒,(Isaiah Taylor)",4,G,克利夫兰骑士（Cleveland Cavaliers）
1997-07-04,泰伦-卢,"科比-西蒙斯,(Kobi Simmons)",24,G,克利夫兰骑士（Cleveland Cavaliers）
1987-10-02,奎因-斯奈德,"乔-英格尔斯,(Joe Ingles)",2,F,犹他爵士（Utah Jazz）
1991-07-20,奎因-斯奈德,"亚历克-伯克斯,(Alec Burks)",10,G,犹他爵士（Utah Jazz）
1995-07-13,奎因-斯奈德,"丹特-埃克萨姆,(Dante Exum)",11,G,犹他爵士（Utah Jazz）
1990-07-06,奎因-斯奈德,"杰-克劳德,(Jae Crowder)",99,F,犹他爵士（Utah Jazz）
1994-02-02,弗雷德-霍伊博格,"安东尼斯-克利夫兰,(Antonius Cleveland)",0,G,芝加哥公牛（Chicago Bulls）
1996-10-04,弗雷德-霍伊博格,"安东尼奥-布莱克尼,(Antonio Blakeney)",9,G,芝加哥公牛（Chicago Bulls）
1995-04-03,弗雷德-霍伊博格,"德里克-沃顿,(Derrick Walton Jr.)",11,G,芝加哥公牛（Chicago Bulls）
1994-03-26,弗雷德-霍伊博格,"瑞安-阿西迪亚科诺,(Ryan Arcidiacono)",51,G,芝加哥公牛（Chicago Bulls）
1970-01-01,弗雷德-霍伊博格,"凯泽-盖茨,(Kaiser Gates)",11,F,芝加哥公牛（Chicago Bulls）
1989-03-16,德韦恩-凯西,"布雷克-格里芬,(Blake Griffin)",23,F,底特律活塞（Detroit Pistons）
1993-08-10,德韦恩-凯西,"安德烈-德拉蒙德,(Andre Drummond)",0,C,底特律活塞（Detroit Pistons）
1984-06-24,布雷特-布朗,"JJ-雷迪克,(JJ Redick)",17,G,费城76人（Philadelphia 76ers）
1990-12-14,布雷特-布朗,"罗伯特-科温顿,(Robert Covington)",33,F,费城76人（Philadelphia 76ers）
1988-08-20,布雷特-布朗,"杰里-贝勒斯,(Jerryd Bayless)",0,G,费城76人（Philadelphia 76ers）
1998-05-29,布雷特-布朗,"马克尔-富尔茨,(Markelle Fultz)",20,G,费城76人（Philadelphia 76ers）
1996-07-20,布雷特-布朗,"本-西蒙斯,(Ben Simmons)",25,G-F,费城76人（Philadelphia 76ers）
1990-03-23,布拉德-史蒂文斯,"戈登-海沃德,(Gordon Hayward)",20,F,波士顿凯尔特人（Boston Celtics）
1986-06-03,布拉德-史蒂文斯,"艾尔-霍弗德,(Al Horford)",42,F-C,波士顿凯尔特人（Boston Celtics）
1992-03-23,布拉德-史蒂文斯,"凯里-欧文,(Kyrie Irving)",11,G,波士顿凯尔特人（Boston Celtics）
1996-04-22,内特-麦克米兰,"阿利兹-约翰逊 ,(Alize Johnson)",24,F,印第安纳步行者（Indiana Pacers）
1990-12-30,内特-麦克米兰,"CJ-威尔考克斯,(CJ Wilcox)",,G,印第安纳步行者（Indiana Pacers）
1995-12-31,内特-麦克米兰,"埃德蒙-萨姆纳,(Edmond Sumner)",5,G,印第安纳步行者（Indiana Pacers）
1994-12-20,史蒂夫-克利福德,"韦斯利-艾旺杜,(Wesley Iwundu)",25,F,奥兰多魔术（Orlando Magic）
1996-08-30,史蒂夫-克利福德,"梅尔文-弗雷泽,(Melvin Frazier)",35,F-G,奥兰多魔术（Orlando Magic）
1996-04-13,史蒂夫-克利福德,"以赛亚-布里斯科,(Isaiah Briscoe)",13,G,奥兰多魔术（Orlando Magic）
1994-04-06,史蒂夫-克利福德,"安戈拉-罗达斯,(Braian Angola-Rodas)",27,G,奥兰多魔术（Orlando Magic）
1988-11-12,比利-多诺万,"拉塞尔-威斯布鲁克,(Russell Westbrook)",0,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1990-05-02,比利-多诺万,"保罗-乔治,(Paul George)",13,F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1992-11-13,迈克-布登霍尔泽,"沙巴兹-穆罕默德,(Shabazz Muhammad)",15,G-F,密尔沃基雄鹿（Milwaukee Bucks）
1993-01-06,迈克-布登霍尔泽,"帕特-康诺顿,(Pat Connaughton)",24,G-F,密尔沃基雄鹿（Milwaukee Bucks）
1992-12-11,迈克-布登霍尔泽,"马尔科姆-布罗格登,(Malcolm Brogdon)",13,G,密尔沃基雄鹿（Milwaukee Bucks）
1995-02-10,迈克-布登霍尔泽,"斯特林-布朗,(Sterling Brown)",23,G,密尔沃基雄鹿（Milwaukee Bucks）
1995-09-27,迈克-布登霍尔泽,"克里斯蒂安-沃德,(Christian Wood)",,F,密尔沃基雄鹿（Milwaukee Bucks）
1990-07-15,特里-斯托茨,"达米安-利拉德,(Damian Lillard)",0,G,波特兰开拓者（Portland Trail Blazers）
1994-05-06,大卫-菲兹代尔,"丹伊恩-多特森,(Damyean Dotson)",21,G,纽约尼克斯（New York Knicks）
1998-04-01,大卫-菲兹代尔,"米切尔-罗宾逊,(Mitchell Robinson)",26,C,纽约尼克斯（New York Knicks）
1993-01-15,大卫-菲兹代尔,"卡迪姆-阿伦,(Kadeem Allen)",0,G,纽约尼克斯（New York Knicks）
1994-07-24,大卫-菲兹代尔,"以赛亚-希克斯,(Isaiah Hicks)",4,F,纽约尼克斯（New York Knicks）
1995-02-23,汤姆-锡伯杜,"安德鲁-威金斯,(Andrew Wiggins)",22,F,明尼苏达森林狼（Minnesota Timberwolves）
1988-06-10,汤姆-锡伯杜,"杰夫-蒂格,(Jeff Teague)",0,G,明尼苏达森林狼（Minnesota Timberwolves）
1992-04-26,尼克-纳斯,"德朗-赖特,(Delon Wright)",55,G,多伦多猛龙（Toronto Raptors）
1990-06-04,尼克-纳斯,"格雷格-门罗,(Greg Monroe)",15,C,多伦多猛龙（Toronto Raptors）
1997-07-17,尼克-纳斯,"OG-阿奴诺比,(OG Anunoby)",3,F,多伦多猛龙（Toronto Raptors）
1990-08-26,尼克-纳斯,"洛伦佐-布朗,(Lorenzo Brown)",4,G,多伦多猛龙（Toronto Raptors）
1998-06-29,迈克尔-马龙,"迈克尔-波特,(Michael Porter Jr.)",1,F,丹佛掘金（Denver Nuggets）
1995-09-28,迈克尔-马龙,"胡安-埃尔南戈麦斯,(Juancho Hernangomez)",41,F,丹佛掘金（Denver Nuggets）
1989-02-07,迈克尔-马龙,"以赛亚-托马斯,(Isaiah Thomas)",0,G,丹佛掘金（Denver Nuggets）
1990-12-19,迈克尔-马龙,"托里-克雷格,(Torrey Craig)",3,F,丹佛掘金（Denver Nuggets）
1993-06-16,劳埃德-皮尔斯,"亚历克斯-莱恩,(Alex Len)",25,C,亚特兰大老鹰（Atlanta Hawks）
1994-03-22,劳埃德-皮尔斯,"托里恩-普林斯,(Taurean Prince)",12,F,亚特兰大老鹰（Atlanta Hawks）
1993-11-19,劳埃德-皮尔斯,"贾斯廷-安德森,(Justin Anderson)",1,G-F,亚特兰大老鹰（Atlanta Hawks）
1977-01-26,劳埃德-皮尔斯,"文斯-卡特,(Vince Carter)",15,G-F,亚特兰大老鹰（Atlanta Hawks）
1997-09-23,劳埃德-皮尔斯,"约翰-科林斯,(John Collins)",20,F-C,亚特兰大老鹰（Atlanta Hawks）
1993-01-14,泰伦-卢,"大卫-努瓦巴,(David Nwaba)",12,G,克利夫兰骑士（Cleveland Cavaliers）
1996-01-12,泰伦-卢,"邦齐-科尔森,(Bonzie Colson)",35,F,克利夫兰骑士（Cleveland Cavaliers）
1988-11-06,泰伦-卢,"约翰-霍兰,(John Holland)",10,G,克利夫兰骑士（Cleveland Cavaliers）
1997-10-26,泰伦-卢,"比利-普莱斯顿,(Billy Preston)",20,F,克利夫兰骑士（Cleveland Cavaliers）
1992-10-03,泰伦-卢,"勒维-兰多夫,(Levi Randolph)",6,G,克利夫兰骑士（Cleveland Cavaliers）
1984-05-02,奎因-斯奈德,"萨博-塞福洛沙,(Thabo Sefolosha)",22,F,犹他爵士（Utah Jazz）
1987-05-20,奎因-斯奈德,"艾派-尤度,(Ekpe Udoh)",33,F-C,犹他爵士（Utah Jazz）
1996-09-07,奎因-斯奈德,"多诺万-米切尔,(Donovan Mitchell)",45,G,犹他爵士（Utah Jazz）
1992-05-19,奎因-斯奈德,"劳尔-内托,(Raul Neto)",25,G,犹他爵士（Utah Jazz）
1997-10-29,弗雷德-霍伊博格,"罗尔-阿尔金斯,(Rawle Alkins)",20,G,芝加哥公牛（Chicago Bulls）
1990-04-16,德韦恩-凯西,"雷吉-杰克逊,(Reggie Jackson)",1,G,底特律活塞（Detroit Pistons）
1989-05-14,德韦恩-凯西,"乔恩-洛伊尔,(Jon Leuer)",30,F,底特律活塞（Detroit Pistons）
1991-12-09,德韦恩-凯西,"兰斯顿-加洛韦,(Langston Galloway)",9,G,底特律活塞（Detroit Pistons）
1988-07-05,德韦恩-凯西,"伊斯梅尔-史密斯,(Ish Smith)",14,G,底特律活塞（Detroit Pistons）
1991-07-01,布雷特-布朗,"迈克-穆斯卡拉,(Mike Muscala)",31,F-C,费城76人（Philadelphia 76ers）
1999-06-04,布雷特-布朗,"扎伊尔-史密斯,(Zhaire Smith)",8,G,费城76人（Philadelphia 76ers）
1994-04-08,布雷特-布朗,"达里奥-沙里奇,(Dario Saric)",9,F,费城76人（Philadelphia 76ers）
1982-09-28,布雷特-布朗,"埃梅卡-奥卡福,(Emeka Okafor)",50,C,费城76人（Philadelphia 76ers）
1987-05-01,布雷特-布朗,"阿米尔-约翰逊,(Amir Johnson)",5,C-F,费城76人（Philadelphia 76ers）
1994-03-06,布拉德-史蒂文斯,"马库斯-斯马特,(Marcus Smart)",36,G,波士顿凯尔特人（Boston Celtics）
1998-03-03,布拉德-史蒂文斯,"杰森-塔特姆,(Jayson Tatum)",0,F,波士顿凯尔特人（Boston Celtics）
1989-09-02,布拉德-史蒂文斯,"马库斯-莫里斯,(Marcus Morris)",13,F,波士顿凯尔特人（Boston Celtics）
1986-12-09,布拉德-史蒂文斯,"阿隆-贝恩斯,(Aron Baynes)",46,F-C,波士顿凯尔特人（Boston Celtics）
1996-10-24,布拉德-史蒂文斯,"杰伦-布朗,(Jaylen Brown)",7,F,波士顿凯尔特人（Boston Celtics）
1995-03-29,史蒂夫-克利福德,"德温-戴维斯,(Devin Davis)",,F,奥兰多魔术（Orlando Magic）
1993-05-07,史蒂夫-克利福德,"阿米尔-杰弗森,(Amile Jefferson)",11,F,奥兰多魔术（Orlando Magic）
1995-11-29,史蒂夫-克利福德,"特洛伊-科佩恩,(Troy Caupain)",3,G,奥兰多魔术（Orlando Magic）
1989-06-13,埃里克-斯波尔斯特拉,"哈桑-怀特塞德,(Hassan Whiteside)",21,C,迈阿密热火（Miami Heat）
1992-05-07,埃里克-斯波尔斯特拉,"泰勒-约翰逊,(Tyler Johnson)",8,G,迈阿密热火（Miami Heat）
1993-07-20,比利-多诺万,"史蒂文-亚当斯,(Steven Adams)",12,C,俄克拉荷马城雷霆（Oklahoma City Thunder）
1993-09-15,比利-多诺万,"丹尼斯-施罗德,(Dennis Schroder)",17,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1991-12-04,比利-多诺万,"安德烈-罗伯森,(Andre Roberson)",21,G-F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1994-03-12,比利-多诺万,"杰拉米-格兰特,(Jerami Grant)",9,F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1995-09-19,迈克-布登霍尔泽,"杰伦-莫里斯,(Jaylen Morris)",30,G,密尔沃基雄鹿（Milwaukee Bucks）
1998-08-03,迈克-布登霍尔泽,"特雷旺-杜瓦尔,(Trevon Duval)",0,G,密尔沃基雄鹿（Milwaukee Bucks）
1991-09-19,特里-斯托茨,"CJ-麦科勒姆,(CJ McCollum)",3,G,波特兰开拓者（Portland Trail Blazers）
1988-10-27,特里-斯托茨,"埃文-特纳,(Evan Turner)",1,G-F,波特兰开拓者（Portland Trail Blazers）
1994-08-23,特里-斯托茨,"优素福-努尔基奇,(Jusuf Nurkic)",27,C,波特兰开拓者（Portland Trail Blazers）
1992-02-27,特里-斯托茨,"迈耶斯-伦纳德,(Meyers Leonard)",11,F-C,波特兰开拓者（Portland Trail Blazers）
1996-01-17,大卫-菲兹代尔,"阿隆佐-特里尔,(Allonzo Trier)",14,G,纽约尼克斯（New York Knicks）
1991-03-06,大卫-菲兹代尔,"约翰-詹金斯,(John Jenkins)",,G,纽约尼克斯（New York Knicks）
1994-12-30,大卫-菲兹代尔,",(Paul Watson)",,G,纽约尼克斯（New York Knicks）
1989-09-14,汤姆-锡伯杜,"吉米-巴特勒,(Jimmy Butler)",23,G-F,明尼苏达森林狼（Minnesota Timberwolves）
1990-01-18,汤姆-锡伯杜,"戈尔吉-吉昂,(Gorgui Dieng)",5,C,明尼苏达森林狼（Minnesota Timberwolves）
1985-06-24,汤姆-锡伯杜,"泰-吉布森,(Taj Gibson)",67,F,明尼苏达森林狼（Minnesota Timberwolves）
1991-12-24,尼克-纳斯,"埃里克-莫兰,(Eric Moreland)",1,C,多伦多猛龙（Toronto Raptors）
1996-01-05,尼克-纳斯,"马拉奇-理查德森,(Malachi Richardson)",22,G,多伦多猛龙（Toronto Raptors）
1995-03-29,尼克-纳斯,"凯-费尔德,(Kay Felder)",20,G,多伦多猛龙（Toronto Raptors）
1991-10-03,尼克-纳斯,"凯尔-科林斯沃思,(Kyle Collinsworth)",5,G,多伦多猛龙（Toronto Raptors）
1994-04-02,尼克-纳斯,"帕斯卡尔-西亚卡姆,(Pascal Siakam)",43,F,多伦多猛龙（Toronto Raptors）
1996-04-09,迈克尔-马龙,"泰勒-莱登,(Tyler Lydon)",20,F,丹佛掘金（Denver Nuggets）
1996-11-26,迈克尔-马龙,"马利克-比斯利,(Malik Beasley)",25,G,丹佛掘金（Denver Nuggets）
1988-01-22,迈克尔-马龙,"泽维尔-西拉斯,(Xavier Silas)",13,G,丹佛掘金（Denver Nuggets）
1995-06-27,迈克尔-马龙,"蒙特-莫里斯,(Monte Morris)",11,G,丹佛掘金（Denver Nuggets）
1999-04-03,迈克尔-马龙,"贾里德-范德比尔特,(Jarred Vanderbilt)",8,F,丹佛掘金（Denver Nuggets）
1998-08-27,劳埃德-皮尔斯,"凯文-赫尔特,(Kevin Huerter)",3,G,亚特兰大老鹰（Atlanta Hawks）
1991-03-17,劳埃德-皮尔斯,"托马斯-鲁滨逊,(Thomas Robinson)",0,F,亚特兰大老鹰（Atlanta Hawks）
1994-07-04,劳埃德-皮尔斯,"德安德烈-本布里,(DeAndre' Bembry)",95,F,亚特兰大老鹰（Atlanta Hawks）
1997-07-21,劳埃德-皮尔斯,"奥马里-斯佩尔曼,(Omari Spellman)",6,F,亚特兰大老鹰（Atlanta Hawks）
1995-10-08,奎因-斯奈德,"格雷森-阿伦,(Grayson Allen)",24,G,犹他爵士（Utah Jazz）
1998-01-08,奎因-斯奈德,"托尼-布拉德利,(Tony Bradley)",13,C,犹他爵士（Utah Jazz）
1993-06-17,奎因-斯奈德,"乔治-尼昂,(Georges Niang)",31,F,犹他爵士（Utah Jazz）
1993-06-05,奎因-斯奈德,"罗伊斯-奥尼尔,(Royce O'Neale)",23,F,犹他爵士（Utah Jazz）
1993-08-03,奎因-斯奈德,"纳兹-米特鲁-朗,(Naz Mitrou-Long)",30,G,犹他爵士（Utah Jazz）
1994-01-08,德韦恩-凯西,"格伦-罗宾逊三世,(Glenn Robinson III)",22,G-F,底特律活塞（Detroit Pistons）
1996-05-29,德韦恩-凯西,"斯坦利-约翰逊,(Stanley Johnson)",7,F,底特律活塞（Detroit Pistons）
1996-06-24,德韦恩-凯西,"卢克-肯纳德,(Luke Kennard)",5,G,底特律活塞（Detroit Pistons）
1991-03-16,德韦恩-凯西,"雷吉-布洛克,(Reggie Bullock)",25,F,底特律活塞（Detroit Pistons）
1981-09-28,德韦恩-凯西,"何塞-卡尔德隆,(Jose Calderon)",81,G,底特律活塞（Detroit Pistons）
1984-02-10,德韦恩-凯西,"扎扎-帕楚里亚,(Zaza Pachulia)",27,C,底特律活塞（Detroit Pistons）
1997-03-13,布雷特-布朗,"兰德里-沙梅特,(Landry Shamet)",23,G,费城76人（Philadelphia 76ers）
1992-03-25,布雷特-布朗,"TJ-麦康奈尔,(T.J. McConnell)",12,G,费城76人（Philadelphia 76ers）
1992-10-10,布雷特-布朗,"安东尼-布朗,(Anthony Brown)",14,F-G,费城76人（Philadelphia 76ers）
1997-07-24,布雷特-布朗,"富尔坎-科尔克马兹,(Furkan Korkmaz)",30,G-F,费城76人（Philadelphia 76ers）
1994-09-07,布雷特-布朗,"迪米特里厄斯-杰克逊,(Demetrius Jackson)",11,G,费城76人（Philadelphia 76ers）
1994-03-17,布拉德-史蒂文斯,"特里-罗齐尔,(Terry Rozier)",12,G,波士顿凯尔特人（Boston Celtics）
1995-12-17,布拉德-史蒂文斯,"盖尔雄-亚布塞莱,(Guerschon Yabusele)",30,F,波士顿凯尔特人（Boston Celtics）
1997-10-17,布拉德-史蒂文斯,"罗伯特-威廉姆斯,(Robert Williams III)",44,C-F,波士顿凯尔特人（Boston Celtics）
1992-04-04,布拉德-史蒂文斯,"丹尼尔-泰斯,(Daniel Theis)",27,F,波士顿凯尔特人（Boston Celtics）
1992-04-09,肯尼-阿特金森,"阿伦-克拉布,(Allen Crabbe)",33,G-F,布鲁克林篮网（Brooklyn Nets）
1986-07-27,肯尼-阿特金森,"德马雷-卡罗尔,(DeMarre Carroll)",9,F,布鲁克林篮网（Brooklyn Nets）
1989-11-19,肯尼-阿特金森,"肯尼思-法里德,(Kenneth Faried)",35,F-C,布鲁克林篮网（Brooklyn Nets）
1986-05-06,埃里克-斯波尔斯特拉,"戈兰-德拉季奇,(Goran Dragic)",7,G,迈阿密热火（Miami Heat）
1987-02-20,埃里克-斯波尔斯特拉,"詹姆斯-约翰逊,(James Johnson)",16,F,迈阿密热火（Miami Heat）
1991-12-10,埃里克-斯波尔斯特拉,"迪昂-韦特斯,(Dion Waiters)",11,G,迈阿密热火（Miami Heat）
1991-04-19,埃里克-斯波尔斯特拉,"凯利-奥利尼克,(Kelly Olynyk)",9,F,迈阿密热火（Miami Heat）
1993-09-15,埃里克-斯波尔斯特拉,"约什-理查德森,(Josh Richardson)",0,F,迈阿密热火（Miami Heat）
1993-08-01,比利-多诺万,"亚历克斯-阿夫里内斯,(Alex Abrines)",8,G-F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1989-03-14,比利-多诺万,"帕特里克-帕特森,(Patrick Patterson)",54,F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1984-06-26,比利-多诺万,"雷蒙德-费尔顿,(Raymond Felton)",2,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1998-05-17,比利-多诺万,"特伦斯-弗格森,(Terrance Ferguson)",23,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1993-05-11,特里-斯托茨,"莫里斯-哈克利斯,(Maurice Harkless)",4,F,波特兰开拓者（Portland Trail Blazers）
1990-09-21,特里-斯托茨,"艾尔-法鲁克-阿米奴,(Al-Farouq Aminu)",8,F,波特兰开拓者（Portland Trail Blazers）
1997-11-19,特里-斯托茨,"扎克-科林斯,(Zach Collins)",33,F-C,波特兰开拓者（Portland Trail Blazers）
1990-08-23,特里-斯托茨,"塞思-库里,(Seth Curry)",31,G,波特兰开拓者（Portland Trail Blazers）
1999-06-08,特里-斯托茨,"安芬尼-西蒙斯,(Anfernee Simons)",24,G,波特兰开拓者（Portland Trail Blazers）
1997-04-18,特里-斯托茨,"凯莱布-斯瓦尼根,(Caleb Swanigan)",50,F,波特兰开拓者（Portland Trail Blazers）
1995-11-15,汤姆-锡伯杜,"卡尔-安东尼-唐斯,(Karl-Anthony Towns)",32,F-C,明尼苏达森林狼（Minnesota Timberwolves）
1985-06-01,汤姆-锡伯杜,"安东尼-托利弗,(Anthony Tolliver)",43,F,明尼苏达森林狼（Minnesota Timberwolves）
1997-06-14,汤姆-锡伯杜,"贾斯廷-巴顿,(Justin Patton)",24,C,明尼苏达森林狼（Minnesota Timberwolves）
1996-05-10,汤姆-锡伯杜,"泰厄斯-琼斯,(Tyus Jones)",1,G,明尼苏达森林狼（Minnesota Timberwolves）
1985-04-16,汤姆-锡伯杜,"洛尔-邓,(Luol Deng)",9,F,明尼苏达森林狼（Minnesota Timberwolves）
1997-02-01,尼克-纳斯,"邓-阿德尔,(Deng Adel)",12,F,多伦多猛龙（Toronto Raptors）
1993-01-11,尼克-纳斯,"克里斯-布歇,(Chris Boucher)",25,F,多伦多猛龙（Toronto Raptors）
1993-07-27,尼克-纳斯,"乔丹-劳埃德,(Jordan Loyd)",8,G,多伦多猛龙（Toronto Raptors）
1993-06-05,迈克尔-马龙,"德沃恩 库恩-珀塞尔,(DeVaughn Akoon-Purcell)",23,G-F,丹佛掘金（Denver Nuggets）
1995-08-21,迈克尔-马龙,"伊曼努尔-特里,(Emanuel Terry)",22,F,丹佛掘金（Denver Nuggets）
1996-02-03,迈克尔-马龙,"托马斯-韦尔什,(Thomas Welsh)",45,C,丹佛掘金（Denver Nuggets）
1993-10-24,劳埃德-皮尔斯,"RJ-亨特,(RJ Hunter)",4,G,亚特兰大老鹰（Atlanta Hawks）
1996-02-18,劳埃德-皮尔斯,"泰勒-多西,(Tyler Dorsey)",2,G,亚特兰大老鹰（Atlanta Hawks）
1995-08-08,劳埃德-皮尔斯,"丹尼尔-汉密尔顿,(Daniel Hamilton)",5,G-F,亚特兰大老鹰（Atlanta Hawks）
1996-05-04,劳埃德-皮尔斯,"杰伦-亚当斯,(Jaylen Adams)",10,G,亚特兰大老鹰（Atlanta Hawks）
1993-09-06,劳埃德-皮尔斯,"亚历克斯-波伊思雷斯,(Alex Poythress)",22,F,亚特兰大老鹰（Atlanta Hawks）
1994-03-13,奎因-斯奈德,"以赛亚-考辛斯,(Isaiah Cousins)",,G,犹他爵士（Utah Jazz）
1994-02-09,奎因-斯奈德,"泰勒-卡瓦诺,(Tyler Cavanaugh)",34,F,犹他爵士（Utah Jazz）
1995-07-06,奎因-斯奈德,"乔勒斯-莱尔斯,(Jairus Lyles)",8,G,犹他爵士（Utah Jazz）
1995-10-02,奎因-斯奈德,"艾萨克-哈斯,(Isaac Haas)",44,C,犹他爵士（Utah Jazz）
1997-01-13,德韦恩-凯西,"亨利-埃伦森,(Henry Ellenson)",8,F,底特律活塞（Detroit Pistons）
1995-02-05,德韦恩-凯西,"克里斯-麦卡洛,(Chris McCullough)",20,F,底特律活塞（Detroit Pistons）
1994-02-03,德韦恩-凯西,"约翰尼-汉密尔顿,(Johnny Hamilton)",24,C,底特律活塞（Detroit Pistons）
1992-11-18,德韦恩-凯西,"扎克-洛夫顿,(Zach Lofton)",18,G,底特律活塞（Detroit Pistons）
1996-08-15,德韦恩-凯西,"布鲁斯-布朗,(Bruce Brown)",6,G,底特律活塞（Detroit Pistons）
1996-05-08,德韦恩-凯西,"凯里-托马斯,(Khyri Thomas)",13,G,底特律活塞（Detroit Pistons）
1996-01-02,布雷特-布朗,"乔纳-博尔登,(Jonah Bolden)",43,F,费城76人（Philadelphia 76ers）
1993-02-03,布雷特-布朗,"诺维尔-佩尔,(Norvel Pelle)",1,C,费城76人（Philadelphia 76ers）
1996-09-26,布雷特-布朗,"谢克-米尔顿,(Shake Milton)",18,G,费城76人（Philadelphia 76ers）
1994-12-05,布拉德-史蒂文斯,"谢米-奥杰莱,(Semi Ojeleye)",37,F,波士顿凯尔特人（Boston Celtics）
1994-07-03,布拉德-史蒂文斯,"贾巴里-伯德,(Jabari Bird)",26,G,波士顿凯尔特人（Boston Celtics）
1989-07-25,布拉德-史蒂文斯,"布拉德-沃纳梅克,(Brad Wanamaker)",9,G,波士顿凯尔特人（Boston Celtics）
1996-08-20,布拉德-史蒂文斯,"杰夫-罗伯逊,(Jeff Roberson)",28,F,波士顿凯尔特人（Boston Celtics）
1996-10-25,布拉德-史蒂文斯,"PJ-多齐尔,(PJ Dozier)",50,G-F,波士顿凯尔特人（Boston Celtics）
1992-07-26,布拉德-史蒂文斯,"沃尔特-莱蒙,(Walter Lemon Jr.)",45,G,波士顿凯尔特人（Boston Celtics）
1985-07-10,肯尼-阿特金森,"贾里德-杜德利,(Jared Dudley)",6,F,布鲁克林篮网（Brooklyn Nets）
1991-09-06,肯尼-阿特金森,"乔-哈里斯,(Joe Harris)",12,G-F,布鲁克林篮网（Brooklyn Nets）
1996-02-23,肯尼-阿特金森,"丹吉洛-拉塞尔,(D'Angelo Russell)",1,G,布鲁克林篮网（Brooklyn Nets）
1989-06-05,肯尼-阿特金森,"埃德-戴维斯,(Ed Davis)",17,C,布鲁克林篮网（Brooklyn Nets）
1995-01-03,肯尼-阿特金森,"朗戴-霍利斯-杰弗森,(Rondae Hollis-Jefferson)",24,F,布鲁克林篮网（Brooklyn Nets）
1988-03-14,史蒂夫-科尔,"斯蒂芬-库里,(Stephen Curry)",30,G,金州勇士（Golden State Warriors）
1987-11-29,埃里克-斯波尔斯特拉,"韦恩-艾灵顿,(Wayne Ellington)",2,G,迈阿密热火（Miami Heat）
1996-03-26,埃里克-斯波尔斯特拉,"贾斯蒂斯-温斯洛,(Justise Winslow)",20,F,迈阿密热火（Miami Heat）
1997-07-18,埃里克-斯波尔斯特拉,"巴姆-阿德巴约,(Bam Adebayo)",13,C-F,迈阿密热火（Miami Heat）
1982-01-17,埃里克-斯波尔斯特拉,"德维恩-韦德,(Dwyane Wade)",3,G,迈阿密热火（Miami Heat）
1980-06-09,埃里克-斯波尔斯特拉,"犹多尼斯-哈斯勒姆,(Udonis Haslem)",40,F,迈阿密热火（Miami Heat）
1994-04-10,比利-多诺万,"纳伦斯-诺埃尔,(Nerlens Noel)",3,F-C,俄克拉荷马城雷霆（Oklahoma City Thunder）
1995-05-09,比利-多诺万,"蒂莫泰-卢瓦乌-卡巴罗,(Timothe Luwawu-Cabarrot)",7,G-F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1993-09-25,比利-多诺万,"阿卜杜勒-纳迪尔,(Abdel Nader)",11,F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1998-07-31,比利-多诺万,"哈米杜-迪亚洛,(Hamidou Diallo)",6,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1995-01-18,比利-多诺万,"布赖斯-奥尔福德,(Bryce Alford)",22,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1993-10-07,特里-斯托茨,"尼克-斯陶斯卡斯,(Nik Stauskas)",6,G,波特兰开拓者（Portland Trail Blazers）
1996-03-29,特里-斯托茨,"韦德-鲍德温,(Wade Baldwin IV)",2,G,波特兰开拓者（Portland Trail Blazers）
